candidate_id	candidate_label	rank	init_or_warm_start	original_label	candidate_order	gata1_pearson_100bp	hic2_pearson_100bp	mean_pearson_100bp	n_targets	all_rows_ok	selected_final_recipe	initial_grid_search_recipe	candidate_note	family	loss	pearson_term	learning_rate	epochs	description	region	bin_size_bp	n_bins	n_finite_pairs	plot_metric	scale_rule	source_summary_path	source_detail_path	example_source_label	representative_run_dir	representative_export_dir	prediction_bw_gata1	prediction_bw_hic2	ground_truth_bw_gata1	ground_truth_bw_hic2	config
C1	C1  r4  base warm-start	r4	base warm-start	hic2_loss_weighted_multiscale_pearsonon_r4_base_lr3em4_5ep	1	0.4345269774	0.5075251963	0.4710260869	2	True	True	True	Initial grid-search fine-tune	weighted multiscale	weighted multiscale	on	3e-4	5	weighted multiscale; weighted multiscale; Pearson term on; r4; base warm-start; lr 3e-4; 5 epochs	chr2:60005424-61005424	100	10000	10000	mean_pearson_100bp	prediction as-is; ground-truth ChIP clip0 + log1p	/broad/boxialab/sihengtao/projects/chromnitron_finetune/20260503_analysis/figure4_bcl11a_100bp_corrected/figure4_bcl11a_pearson_100bp_corrected_summary.tsv	/broad/boxialab/sihengtao/projects/chromnitron_finetune/20260503_analysis/figure4_bcl11a_100bp_corrected/figure4_bcl11a_pearson_100bp_corrected.tsv	hic2_loss_weighted_multiscale_pearsonon_r4_base_lr3em4_5ep/20260425-184209|GATA1	/broad/boxialab/sihengtao/projects/chromnitron_finetune/hic2_loss_weighted_multiscale_pearsonon_r4_base_lr3em4_5ep/20260425-184209	/broad/boxialab/sihengtao/projects/chromnitron_finetune/hic2_loss_weighted_multiscale_pearsonon_r4_base_lr3em4_5ep/20260425-184209/hic2_1mb_bigwig_gata1_transfer_1mb	/broad/boxialab/sihengtao/projects/chromnitron_finetune/hic2_loss_weighted_multiscale_pearsonon_r4_base_lr3em4_5ep/20260425-184209/hic2_1mb_bigwig_gata1_transfer_1mb/prediction/prediction/check4hic2_anewPaper_single_sample/GATA1/bigwigs/GATA1_check4hic2_anewPaper_single_sample_prediction.bw	/broad/boxialab/sihengtao/projects/chromnitron_finetune/hic2_loss_weighted_multiscale_pearsonon_r4_base_lr3em4_5ep/20260425-184209/hic2_1mb_bigwig/prediction/prediction/check4hic2_anewPaper_single_sample/HIC2/bigwigs/HIC2_check4hic2_anewPaper_single_sample_prediction.bw	/broad/boxialab/sihengtao/projects/check4hic2_anewPaper/chrom2vec_output/SRR21983756_SRR21983758/s9_bigwig/genrich_normalized.bw	/broad/boxialab/sihengtao/projects/check4hic2_anewPaper/chrom2vec_output/SRR21983754_SRR21983752/s9_bigwig/genrich_normalized.bw	hic2_loss_weighted_multiscale_pearsonon_r4_base_lr3em4_5ep
C3	C3  r8  base warm-start	r8	base warm-start	hic2_target_B_clip_mse_r8_base_lr1em3_8ep	2	0.4321510831	0.507278118	0.4697146006	2	True	False	False		target B clip	MSE	off	1e-3	8	target B clip; MSE; Pearson term off; r8; base warm-start; lr 1e-3; 8 epochs	chr2:60005424-61005424	100	10000	10000	mean_pearson_100bp	prediction as-is; ground-truth ChIP clip0 + log1p	/broad/boxialab/sihengtao/projects/chromnitron_finetune/20260503_analysis/figure4_bcl11a_100bp_corrected/figure4_bcl11a_pearson_100bp_corrected_summary.tsv	/broad/boxialab/sihengtao/projects/chromnitron_finetune/20260503_analysis/figure4_bcl11a_100bp_corrected/figure4_bcl11a_pearson_100bp_corrected.tsv	hic2_target_B_clip_mse_r8_base_lr1em3_8ep/20260427-035224|GATA1	/broad/boxialab/sihengtao/projects/chromnitron_finetune/hic2_target_B_clip_mse_r8_base_lr1em3_8ep/20260427-035224	/broad/boxialab/sihengtao/projects/chromnitron_finetune/hic2_target_B_clip_mse_r8_base_lr1em3_8ep/20260427-035224/hic2_1mb_bigwig_gata1_transfer_1mb	/broad/boxialab/sihengtao/projects/chromnitron_finetune/hic2_target_B_clip_mse_r8_base_lr1em3_8ep/20260427-035224/hic2_1mb_bigwig_gata1_transfer_1mb/prediction/prediction/check4hic2_anewPaper_single_sample/GATA1/bigwigs/GATA1_check4hic2_anewPaper_single_sample_prediction.bw	/broad/boxialab/sihengtao/projects/chromnitron_finetune/hic2_target_B_clip_mse_r8_base_lr1em3_8ep/20260427-035224/hic2_1mb_bigwig/prediction/prediction/check4hic2_anewPaper_single_sample/HIC2/bigwigs/HIC2_check4hic2_anewPaper_single_sample_prediction.bw	/broad/boxialab/sihengtao/projects/check4hic2_anewPaper/chrom2vec_output/SRR21983756_SRR21983758/s9_bigwig/genrich_normalized.bw	/broad/boxialab/sihengtao/projects/check4hic2_anewPaper/chrom2vec_output/SRR21983754_SRR21983752/s9_bigwig/genrich_normalized.bw	hic2_target_B_clip_mse_r8_base_lr1em3_8ep
C5	C5  r4  base warm-start	r4	base warm-start	hic2_loss_weighted_multiscale_pearsonoff_r4_base_lr3em4_5ep	3	0.4229388286	0.5088803828	0.4659096057	2	True	False	False		weighted multiscale	weighted multiscale	off	3e-4	5	weighted multiscale; weighted multiscale; Pearson term off; r4; base warm-start; lr 3e-4; 5 epochs	chr2:60005424-61005424	100	10000	10000	mean_pearson_100bp	prediction as-is; ground-truth ChIP clip0 + log1p	/broad/boxialab/sihengtao/projects/chromnitron_finetune/20260503_analysis/figure4_bcl11a_100bp_corrected/figure4_bcl11a_pearson_100bp_corrected_summary.tsv	/broad/boxialab/sihengtao/projects/chromnitron_finetune/20260503_analysis/figure4_bcl11a_100bp_corrected/figure4_bcl11a_pearson_100bp_corrected.tsv	hic2_loss_weighted_multiscale_pearsonoff_r4_base_lr3em4_5ep/20260425-160431|GATA1	/broad/boxialab/sihengtao/projects/chromnitron_finetune/hic2_loss_weighted_multiscale_pearsonoff_r4_base_lr3em4_5ep/20260425-160431	/broad/boxialab/sihengtao/projects/chromnitron_finetune/hic2_loss_weighted_multiscale_pearsonoff_r4_base_lr3em4_5ep/20260425-160431/hic2_1mb_bigwig_gata1_transfer_1mb	/broad/boxialab/sihengtao/projects/chromnitron_finetune/hic2_loss_weighted_multiscale_pearsonoff_r4_base_lr3em4_5ep/20260425-160431/hic2_1mb_bigwig_gata1_transfer_1mb/prediction/prediction/check4hic2_anewPaper_single_sample/GATA1/bigwigs/GATA1_check4hic2_anewPaper_single_sample_prediction.bw	/broad/boxialab/sihengtao/projects/chromnitron_finetune/hic2_loss_weighted_multiscale_pearsonoff_r4_base_lr3em4_5ep/20260425-160431/hic2_1mb_bigwig/prediction/prediction/check4hic2_anewPaper_single_sample/HIC2/bigwigs/HIC2_check4hic2_anewPaper_single_sample_prediction.bw	/broad/boxialab/sihengtao/projects/check4hic2_anewPaper/chrom2vec_output/SRR21983756_SRR21983758/s9_bigwig/genrich_normalized.bw	/broad/boxialab/sihengtao/projects/check4hic2_anewPaper/chrom2vec_output/SRR21983754_SRR21983752/s9_bigwig/genrich_normalized.bw	hic2_loss_weighted_multiscale_pearsonoff_r4_base_lr3em4_5ep
C4	C4  r4  full warm-start	r4	full warm-start	hic2_loss_weighted_multiscale_pearsonoff_r4_fullws_lr3em4_5ep	4	0.4201057868	0.508593992	0.4643498894	2	True	False	False		weighted multiscale	weighted multiscale	off	3e-4	5	weighted multiscale; weighted multiscale; Pearson term off; r4; full warm-start; lr 3e-4; 5 epochs	chr2:60005424-61005424	100	10000	10000	mean_pearson_100bp	prediction as-is; ground-truth ChIP clip0 + log1p	/broad/boxialab/sihengtao/projects/chromnitron_finetune/20260503_analysis/figure4_bcl11a_100bp_corrected/figure4_bcl11a_pearson_100bp_corrected_summary.tsv	/broad/boxialab/sihengtao/projects/chromnitron_finetune/20260503_analysis/figure4_bcl11a_100bp_corrected/figure4_bcl11a_pearson_100bp_corrected.tsv	hic2_loss_weighted_multiscale_pearsonoff_r4_fullws_lr3em4_5ep/20260426-020622|GATA1	/broad/boxialab/sihengtao/projects/chromnitron_finetune/hic2_loss_weighted_multiscale_pearsonoff_r4_fullws_lr3em4_5ep/20260426-020622	/broad/boxialab/sihengtao/projects/chromnitron_finetune/hic2_loss_weighted_multiscale_pearsonoff_r4_fullws_lr3em4_5ep/20260426-020622/hic2_1mb_bigwig_gata1_transfer_1mb	/broad/boxialab/sihengtao/projects/chromnitron_finetune/hic2_loss_weighted_multiscale_pearsonoff_r4_fullws_lr3em4_5ep/20260426-020622/hic2_1mb_bigwig_gata1_transfer_1mb/prediction/prediction/check4hic2_anewPaper_single_sample/GATA1/bigwigs/GATA1_check4hic2_anewPaper_single_sample_prediction.bw	/broad/boxialab/sihengtao/projects/chromnitron_finetune/hic2_loss_weighted_multiscale_pearsonoff_r4_fullws_lr3em4_5ep/20260426-020622/hic2_1mb_bigwig/prediction/prediction/check4hic2_anewPaper_single_sample/HIC2/bigwigs/HIC2_check4hic2_anewPaper_single_sample_prediction.bw	/broad/boxialab/sihengtao/projects/check4hic2_anewPaper/chrom2vec_output/SRR21983756_SRR21983758/s9_bigwig/genrich_normalized.bw	/broad/boxialab/sihengtao/projects/check4hic2_anewPaper/chrom2vec_output/SRR21983754_SRR21983752/s9_bigwig/genrich_normalized.bw	hic2_loss_weighted_multiscale_pearsonoff_r4_fullws_lr3em4_5ep
C2	C2  r4  full warm-start	r4	full warm-start	hic2_loss_weighted_multiscale_pearsonon_r4_fullws_lr3em4_5ep	5	0.4175932006	0.5087425051	0.4631678529	2	True	False	False		weighted multiscale	weighted multiscale	on	3e-4	5	weighted multiscale; weighted multiscale; Pearson term on; r4; full warm-start; lr 3e-4; 5 epochs	chr2:60005424-61005424	100	10000	10000	mean_pearson_100bp	prediction as-is; ground-truth ChIP clip0 + log1p	/broad/boxialab/sihengtao/projects/chromnitron_finetune/20260503_analysis/figure4_bcl11a_100bp_corrected/figure4_bcl11a_pearson_100bp_corrected_summary.tsv	/broad/boxialab/sihengtao/projects/chromnitron_finetune/20260503_analysis/figure4_bcl11a_100bp_corrected/figure4_bcl11a_pearson_100bp_corrected.tsv	hic2_loss_weighted_multiscale_pearsonon_r4_fullws_lr3em4_5ep/20260426-020616|GATA1	/broad/boxialab/sihengtao/projects/chromnitron_finetune/hic2_loss_weighted_multiscale_pearsonon_r4_fullws_lr3em4_5ep/20260426-020616	/broad/boxialab/sihengtao/projects/chromnitron_finetune/hic2_loss_weighted_multiscale_pearsonon_r4_fullws_lr3em4_5ep/20260426-020616/hic2_1mb_bigwig_gata1_transfer_1mb	/broad/boxialab/sihengtao/projects/chromnitron_finetune/hic2_loss_weighted_multiscale_pearsonon_r4_fullws_lr3em4_5ep/20260426-020616/hic2_1mb_bigwig_gata1_transfer_1mb/prediction/prediction/check4hic2_anewPaper_single_sample/GATA1/bigwigs/GATA1_check4hic2_anewPaper_single_sample_prediction.bw	/broad/boxialab/sihengtao/projects/chromnitron_finetune/hic2_loss_weighted_multiscale_pearsonon_r4_fullws_lr3em4_5ep/20260426-020616/hic2_1mb_bigwig/prediction/prediction/check4hic2_anewPaper_single_sample/HIC2/bigwigs/HIC2_check4hic2_anewPaper_single_sample_prediction.bw	/broad/boxialab/sihengtao/projects/check4hic2_anewPaper/chrom2vec_output/SRR21983756_SRR21983758/s9_bigwig/genrich_normalized.bw	/broad/boxialab/sihengtao/projects/check4hic2_anewPaper/chrom2vec_output/SRR21983754_SRR21983752/s9_bigwig/genrich_normalized.bw	hic2_loss_weighted_multiscale_pearsonon_r4_fullws_lr3em4_5ep
C6	C6  r4  base warm-start	r4	base warm-start	hic2_loss_mse_pearsonoff_r4_base_lr3em4_5ep	6	0.4155929847	0.5057236113	0.460658298	2	True	False	False		standard target	MSE	off	3e-4	5	standard target; MSE; Pearson term off; r4; base warm-start; lr 3e-4; 5 epochs	chr2:60005424-61005424	100	10000	10000	mean_pearson_100bp	prediction as-is; ground-truth ChIP clip0 + log1p	/broad/boxialab/sihengtao/projects/chromnitron_finetune/20260503_analysis/figure4_bcl11a_100bp_corrected/figure4_bcl11a_pearson_100bp_corrected_summary.tsv	/broad/boxialab/sihengtao/projects/chromnitron_finetune/20260503_analysis/figure4_bcl11a_100bp_corrected/figure4_bcl11a_pearson_100bp_corrected.tsv	hic2_loss_mse_pearsonoff_r4_base_lr3em4_5ep/20260425-160431|GATA1	/broad/boxialab/sihengtao/projects/chromnitron_finetune/hic2_loss_mse_pearsonoff_r4_base_lr3em4_5ep/20260425-160431	/broad/boxialab/sihengtao/projects/chromnitron_finetune/hic2_loss_mse_pearsonoff_r4_base_lr3em4_5ep/20260425-160431/hic2_1mb_bigwig_gata1_transfer_1mb	/broad/boxialab/sihengtao/projects/chromnitron_finetune/hic2_loss_mse_pearsonoff_r4_base_lr3em4_5ep/20260425-160431/hic2_1mb_bigwig_gata1_transfer_1mb/prediction/prediction/check4hic2_anewPaper_single_sample/GATA1/bigwigs/GATA1_check4hic2_anewPaper_single_sample_prediction.bw	/broad/boxialab/sihengtao/projects/chromnitron_finetune/hic2_loss_mse_pearsonoff_r4_base_lr3em4_5ep/20260425-160431/hic2_1mb_bigwig/prediction/prediction/check4hic2_anewPaper_single_sample/HIC2/bigwigs/HIC2_check4hic2_anewPaper_single_sample_prediction.bw	/broad/boxialab/sihengtao/projects/check4hic2_anewPaper/chrom2vec_output/SRR21983756_SRR21983758/s9_bigwig/genrich_normalized.bw	/broad/boxialab/sihengtao/projects/check4hic2_anewPaper/chrom2vec_output/SRR21983754_SRR21983752/s9_bigwig/genrich_normalized.bw	hic2_loss_mse_pearsonoff_r4_base_lr3em4_5ep
C7	C7  r4  full warm-start	r4	full warm-start	hic2_loss_mse_pearsonoff_r4_fullws_lr3em4_5ep	7	0.4124315464	0.5065239997	0.459477773	2	True	False	False		standard target	MSE	off	3e-4	5	standard target; MSE; Pearson term off; r4; full warm-start; lr 3e-4; 5 epochs	chr2:60005424-61005424	100	10000	10000	mean_pearson_100bp	prediction as-is; ground-truth ChIP clip0 + log1p	/broad/boxialab/sihengtao/projects/chromnitron_finetune/20260503_analysis/figure4_bcl11a_100bp_corrected/figure4_bcl11a_pearson_100bp_corrected_summary.tsv	/broad/boxialab/sihengtao/projects/chromnitron_finetune/20260503_analysis/figure4_bcl11a_100bp_corrected/figure4_bcl11a_pearson_100bp_corrected.tsv	hic2_loss_mse_pearsonoff_r4_fullws_lr3em4_5ep/20260426-020622|GATA1	/broad/boxialab/sihengtao/projects/chromnitron_finetune/hic2_loss_mse_pearsonoff_r4_fullws_lr3em4_5ep/20260426-020622	/broad/boxialab/sihengtao/projects/chromnitron_finetune/hic2_loss_mse_pearsonoff_r4_fullws_lr3em4_5ep/20260426-020622/hic2_1mb_bigwig_gata1_transfer_1mb	/broad/boxialab/sihengtao/projects/chromnitron_finetune/hic2_loss_mse_pearsonoff_r4_fullws_lr3em4_5ep/20260426-020622/hic2_1mb_bigwig_gata1_transfer_1mb/prediction/prediction/check4hic2_anewPaper_single_sample/GATA1/bigwigs/GATA1_check4hic2_anewPaper_single_sample_prediction.bw	/broad/boxialab/sihengtao/projects/chromnitron_finetune/hic2_loss_mse_pearsonoff_r4_fullws_lr3em4_5ep/20260426-020622/hic2_1mb_bigwig/prediction/prediction/check4hic2_anewPaper_single_sample/HIC2/bigwigs/HIC2_check4hic2_anewPaper_single_sample_prediction.bw	/broad/boxialab/sihengtao/projects/check4hic2_anewPaper/chrom2vec_output/SRR21983756_SRR21983758/s9_bigwig/genrich_normalized.bw	/broad/boxialab/sihengtao/projects/check4hic2_anewPaper/chrom2vec_output/SRR21983754_SRR21983752/s9_bigwig/genrich_normalized.bw	hic2_loss_mse_pearsonoff_r4_fullws_lr3em4_5ep
C8	C8  r4  base warm-start	r4	base warm-start	hic2_target_B_clip_mse_r4_base_lr3em4_8ep	8	0.4101726152	0.5066732861	0.4584229506	2	True	False	False		target B clip	MSE	off	3e-4	8	target B clip; MSE; Pearson term off; r4; base warm-start; lr 3e-4; 8 epochs	chr2:60005424-61005424	100	10000	10000	mean_pearson_100bp	prediction as-is; ground-truth ChIP clip0 + log1p	/broad/boxialab/sihengtao/projects/chromnitron_finetune/20260503_analysis/figure4_bcl11a_100bp_corrected/figure4_bcl11a_pearson_100bp_corrected_summary.tsv	/broad/boxialab/sihengtao/projects/chromnitron_finetune/20260503_analysis/figure4_bcl11a_100bp_corrected/figure4_bcl11a_pearson_100bp_corrected.tsv	hic2_target_B_clip_mse_r4_base_lr3em4_8ep/20260426-145616|GATA1	/broad/boxialab/sihengtao/projects/chromnitron_finetune/hic2_target_B_clip_mse_r4_base_lr3em4_8ep/20260426-145616	/broad/boxialab/sihengtao/projects/chromnitron_finetune/hic2_target_B_clip_mse_r4_base_lr3em4_8ep/20260426-145616/hic2_1mb_bigwig_gata1_transfer_1mb	/broad/boxialab/sihengtao/projects/chromnitron_finetune/hic2_target_B_clip_mse_r4_base_lr3em4_8ep/20260426-145616/hic2_1mb_bigwig_gata1_transfer_1mb/prediction/prediction/check4hic2_anewPaper_single_sample/GATA1/bigwigs/GATA1_check4hic2_anewPaper_single_sample_prediction.bw	/broad/boxialab/sihengtao/projects/chromnitron_finetune/hic2_target_B_clip_mse_r4_base_lr3em4_8ep/20260426-145616/hic2_1mb_bigwig/prediction/prediction/check4hic2_anewPaper_single_sample/HIC2/bigwigs/HIC2_check4hic2_anewPaper_single_sample_prediction.bw	/broad/boxialab/sihengtao/projects/check4hic2_anewPaper/chrom2vec_output/SRR21983756_SRR21983758/s9_bigwig/genrich_normalized.bw	/broad/boxialab/sihengtao/projects/check4hic2_anewPaper/chrom2vec_output/SRR21983754_SRR21983752/s9_bigwig/genrich_normalized.bw	hic2_target_B_clip_mse_r4_base_lr3em4_8ep
C10	C10  r4  base warm-start	r4	base warm-start	hic2_target_A_log1p_clip_mse_r4_base_lr3em4_8ep	9	0.4008344829	0.5062981008	0.4535662919	2	True	False	False		target A log1p+clip	MSE	off	3e-4	8	target A log1p+clip; MSE; Pearson term off; r4; base warm-start; lr 3e-4; 8 epochs	chr2:60005424-61005424	100	10000	10000	mean_pearson_100bp	prediction as-is; ground-truth ChIP clip0 + log1p	/broad/boxialab/sihengtao/projects/chromnitron_finetune/20260503_analysis/figure4_bcl11a_100bp_corrected/figure4_bcl11a_pearson_100bp_corrected_summary.tsv	/broad/boxialab/sihengtao/projects/chromnitron_finetune/20260503_analysis/figure4_bcl11a_100bp_corrected/figure4_bcl11a_pearson_100bp_corrected.tsv	hic2_target_A_log1p_clip_mse_r4_base_lr3em4_8ep/20260426-145616|GATA1	/broad/boxialab/sihengtao/projects/chromnitron_finetune/hic2_target_A_log1p_clip_mse_r4_base_lr3em4_8ep/20260426-145616	/broad/boxialab/sihengtao/projects/chromnitron_finetune/hic2_target_A_log1p_clip_mse_r4_base_lr3em4_8ep/20260426-145616/hic2_1mb_bigwig_gata1_transfer_1mb	/broad/boxialab/sihengtao/projects/chromnitron_finetune/hic2_target_A_log1p_clip_mse_r4_base_lr3em4_8ep/20260426-145616/hic2_1mb_bigwig_gata1_transfer_1mb/prediction/prediction/check4hic2_anewPaper_single_sample/GATA1/bigwigs/GATA1_check4hic2_anewPaper_single_sample_prediction.bw	/broad/boxialab/sihengtao/projects/chromnitron_finetune/hic2_target_A_log1p_clip_mse_r4_base_lr3em4_8ep/20260426-145616/hic2_1mb_bigwig/prediction/prediction/check4hic2_anewPaper_single_sample/HIC2/bigwigs/HIC2_check4hic2_anewPaper_single_sample_prediction.bw	/broad/boxialab/sihengtao/projects/check4hic2_anewPaper/chrom2vec_output/SRR21983756_SRR21983758/s9_bigwig/genrich_normalized.bw	/broad/boxialab/sihengtao/projects/check4hic2_anewPaper/chrom2vec_output/SRR21983754_SRR21983752/s9_bigwig/genrich_normalized.bw	hic2_target_A_log1p_clip_mse_r4_base_lr3em4_8ep
C9	C9  r8  base warm-start	r8	base warm-start	hic2_target_A_log1p_clip_mse_r8_base_lr1em3_8ep	10	0.4000851755	0.5057082742	0.4528967248	2	True	False	False		target A log1p+clip	MSE	off	1e-3	8	target A log1p+clip; MSE; Pearson term off; r8; base warm-start; lr 1e-3; 8 epochs	chr2:60005424-61005424	100	10000	10000	mean_pearson_100bp	prediction as-is; ground-truth ChIP clip0 + log1p	/broad/boxialab/sihengtao/projects/chromnitron_finetune/20260503_analysis/figure4_bcl11a_100bp_corrected/figure4_bcl11a_pearson_100bp_corrected_summary.tsv	/broad/boxialab/sihengtao/projects/chromnitron_finetune/20260503_analysis/figure4_bcl11a_100bp_corrected/figure4_bcl11a_pearson_100bp_corrected.tsv	hic2_target_A_log1p_clip_mse_r8_base_lr1em3_8ep/20260427-035224|GATA1	/broad/boxialab/sihengtao/projects/chromnitron_finetune/hic2_target_A_log1p_clip_mse_r8_base_lr1em3_8ep/20260427-035224	/broad/boxialab/sihengtao/projects/chromnitron_finetune/hic2_target_A_log1p_clip_mse_r8_base_lr1em3_8ep/20260427-035224/hic2_1mb_bigwig_gata1_transfer_1mb	/broad/boxialab/sihengtao/projects/chromnitron_finetune/hic2_target_A_log1p_clip_mse_r8_base_lr1em3_8ep/20260427-035224/hic2_1mb_bigwig_gata1_transfer_1mb/prediction/prediction/check4hic2_anewPaper_single_sample/GATA1/bigwigs/GATA1_check4hic2_anewPaper_single_sample_prediction.bw	/broad/boxialab/sihengtao/projects/chromnitron_finetune/hic2_target_A_log1p_clip_mse_r8_base_lr1em3_8ep/20260427-035224/hic2_1mb_bigwig/prediction/prediction/check4hic2_anewPaper_single_sample/HIC2/bigwigs/HIC2_check4hic2_anewPaper_single_sample_prediction.bw	/broad/boxialab/sihengtao/projects/check4hic2_anewPaper/chrom2vec_output/SRR21983756_SRR21983758/s9_bigwig/genrich_normalized.bw	/broad/boxialab/sihengtao/projects/check4hic2_anewPaper/chrom2vec_output/SRR21983754_SRR21983752/s9_bigwig/genrich_normalized.bw	hic2_target_A_log1p_clip_mse_r8_base_lr1em3_8ep
C11	C11  r8  base warm-start	r8	base warm-start	hic2_target_D_gamma2_mse_r8_base_lr1em3_8ep	11	0.3705494509	0.5035349791	0.437042215	2	True	False	False		target D gamma2	MSE	off	1e-3	8	target D gamma2; MSE; Pearson term off; r8; base warm-start; lr 1e-3; 8 epochs	chr2:60005424-61005424	100	10000	10000	mean_pearson_100bp	prediction as-is; ground-truth ChIP clip0 + log1p	/broad/boxialab/sihengtao/projects/chromnitron_finetune/20260503_analysis/figure4_bcl11a_100bp_corrected/figure4_bcl11a_pearson_100bp_corrected_summary.tsv	/broad/boxialab/sihengtao/projects/chromnitron_finetune/20260503_analysis/figure4_bcl11a_100bp_corrected/figure4_bcl11a_pearson_100bp_corrected.tsv	hic2_target_D_gamma2_mse_r8_base_lr1em3_8ep/20260427-035224|GATA1	/broad/boxialab/sihengtao/projects/chromnitron_finetune/hic2_target_D_gamma2_mse_r8_base_lr1em3_8ep/20260427-035224	/broad/boxialab/sihengtao/projects/chromnitron_finetune/hic2_target_D_gamma2_mse_r8_base_lr1em3_8ep/20260427-035224/hic2_1mb_bigwig_gata1_transfer_1mb	/broad/boxialab/sihengtao/projects/chromnitron_finetune/hic2_target_D_gamma2_mse_r8_base_lr1em3_8ep/20260427-035224/hic2_1mb_bigwig_gata1_transfer_1mb/prediction/prediction/check4hic2_anewPaper_single_sample/GATA1/bigwigs/GATA1_check4hic2_anewPaper_single_sample_prediction.bw	/broad/boxialab/sihengtao/projects/chromnitron_finetune/hic2_target_D_gamma2_mse_r8_base_lr1em3_8ep/20260427-035224/hic2_1mb_bigwig/prediction/prediction/check4hic2_anewPaper_single_sample/HIC2/bigwigs/HIC2_check4hic2_anewPaper_single_sample_prediction.bw	/broad/boxialab/sihengtao/projects/check4hic2_anewPaper/chrom2vec_output/SRR21983756_SRR21983758/s9_bigwig/genrich_normalized.bw	/broad/boxialab/sihengtao/projects/check4hic2_anewPaper/chrom2vec_output/SRR21983754_SRR21983752/s9_bigwig/genrich_normalized.bw	hic2_target_D_gamma2_mse_r8_base_lr1em3_8ep
C12	C12  r4  base warm-start	r4	base warm-start	hic2_target_D_gamma2_mse_r4_base_lr3em4_8ep	12	0.3133685054	0.5018795024	0.4076240039	2	True	False	False		target D gamma2	MSE	off	3e-4	8	target D gamma2; MSE; Pearson term off; r4; base warm-start; lr 3e-4; 8 epochs	chr2:60005424-61005424	100	10000	10000	mean_pearson_100bp	prediction as-is; ground-truth ChIP clip0 + log1p	/broad/boxialab/sihengtao/projects/chromnitron_finetune/20260503_analysis/figure4_bcl11a_100bp_corrected/figure4_bcl11a_pearson_100bp_corrected_summary.tsv	/broad/boxialab/sihengtao/projects/chromnitron_finetune/20260503_analysis/figure4_bcl11a_100bp_corrected/figure4_bcl11a_pearson_100bp_corrected.tsv	hic2_target_D_gamma2_mse_r4_base_lr3em4_8ep/20260426-145616|GATA1	/broad/boxialab/sihengtao/projects/chromnitron_finetune/hic2_target_D_gamma2_mse_r4_base_lr3em4_8ep/20260426-145616	/broad/boxialab/sihengtao/projects/chromnitron_finetune/hic2_target_D_gamma2_mse_r4_base_lr3em4_8ep/20260426-145616/hic2_1mb_bigwig_gata1_transfer_1mb	/broad/boxialab/sihengtao/projects/chromnitron_finetune/hic2_target_D_gamma2_mse_r4_base_lr3em4_8ep/20260426-145616/hic2_1mb_bigwig_gata1_transfer_1mb/prediction/prediction/check4hic2_anewPaper_single_sample/GATA1/bigwigs/GATA1_check4hic2_anewPaper_single_sample_prediction.bw	/broad/boxialab/sihengtao/projects/chromnitron_finetune/hic2_target_D_gamma2_mse_r4_base_lr3em4_8ep/20260426-145616/hic2_1mb_bigwig/prediction/prediction/check4hic2_anewPaper_single_sample/HIC2/bigwigs/HIC2_check4hic2_anewPaper_single_sample_prediction.bw	/broad/boxialab/sihengtao/projects/check4hic2_anewPaper/chrom2vec_output/SRR21983756_SRR21983758/s9_bigwig/genrich_normalized.bw	/broad/boxialab/sihengtao/projects/check4hic2_anewPaper/chrom2vec_output/SRR21983754_SRR21983752/s9_bigwig/genrich_normalized.bw	hic2_target_D_gamma2_mse_r4_base_lr3em4_8ep
