candidate_id	target	bin_size_bp	region	pearson	n_bins	n_finite_pairs	status	label	candidate_label	timestamp	config	rank	init_or_warm_start	selected_final_recipe	initial_grid_search_recipe	candidate_note	run_dir	export_dir	prediction_bw	ground_truth_bw	prediction_missing_or_nonfinite_bases_filled_zero	prediction_negative_bases_observed_not_clipped	ground_truth_missing_or_nonfinite_bases_filled_zero	ground_truth_negative_bases_clipped_zero	prediction_nonfinite_bins_after_cleaning	ground_truth_nonfinite_bins_after_cleaning	scale_rule	source_table	message	mean_pearson_100bp	plot_metric	source_summary_path	source_detail_path	pearson_100bp
C1	GATA1	100	chr2:60005424-61005424	0.4345269774	10000	10000	ok	hic2_loss_weighted_multiscale_pearsonon_r4_base_lr3em4_5ep/20260425-184209|GATA1	C1  r4  base warm-start	20260425-184209	hic2_loss_weighted_multiscale_pearsonon_r4_base_lr3em4_5ep	r4	base warm-start	True	True	Initial grid-search fine-tune	/broad/boxialab/sihengtao/projects/chromnitron_finetune/hic2_loss_weighted_multiscale_pearsonon_r4_base_lr3em4_5ep/20260425-184209	/broad/boxialab/sihengtao/projects/chromnitron_finetune/hic2_loss_weighted_multiscale_pearsonon_r4_base_lr3em4_5ep/20260425-184209/hic2_1mb_bigwig_gata1_transfer_1mb	/broad/boxialab/sihengtao/projects/chromnitron_finetune/hic2_loss_weighted_multiscale_pearsonon_r4_base_lr3em4_5ep/20260425-184209/hic2_1mb_bigwig_gata1_transfer_1mb/prediction/prediction/check4hic2_anewPaper_single_sample/GATA1/bigwigs/GATA1_check4hic2_anewPaper_single_sample_prediction.bw	/broad/boxialab/sihengtao/projects/check4hic2_anewPaper/chrom2vec_output/SRR21983756_SRR21983758/s9_bigwig/genrich_normalized.bw	0	0	0	221872	0	0	prediction as-is; ground-truth ChIP clip0 + log1p	/broad/boxialab/sihengtao/chromnitron/chromnitron_finetune/Final Project/final_support/04_finetuning_hyperparameter_selection/figure4_finetuning_hyperparameter_selection_clean_source.tsv		0.4710260869	mean_pearson_100bp	/broad/boxialab/sihengtao/projects/chromnitron_finetune/20260503_analysis/figure4_bcl11a_100bp_corrected/figure4_bcl11a_pearson_100bp_corrected_summary.tsv	/broad/boxialab/sihengtao/projects/chromnitron_finetune/20260503_analysis/figure4_bcl11a_100bp_corrected/figure4_bcl11a_pearson_100bp_corrected.tsv	0.4345269774
C1	HIC2	100	chr2:60005424-61005424	0.5075251963	10000	10000	ok	hic2_loss_weighted_multiscale_pearsonon_r4_base_lr3em4_5ep/20260425-184209|HIC2	C1  r4  base warm-start	20260425-184209	hic2_loss_weighted_multiscale_pearsonon_r4_base_lr3em4_5ep	r4	base warm-start	True	True	Initial grid-search fine-tune	/broad/boxialab/sihengtao/projects/chromnitron_finetune/hic2_loss_weighted_multiscale_pearsonon_r4_base_lr3em4_5ep/20260425-184209	/broad/boxialab/sihengtao/projects/chromnitron_finetune/hic2_loss_weighted_multiscale_pearsonon_r4_base_lr3em4_5ep/20260425-184209/hic2_1mb_bigwig	/broad/boxialab/sihengtao/projects/chromnitron_finetune/hic2_loss_weighted_multiscale_pearsonon_r4_base_lr3em4_5ep/20260425-184209/hic2_1mb_bigwig/prediction/prediction/check4hic2_anewPaper_single_sample/HIC2/bigwigs/HIC2_check4hic2_anewPaper_single_sample_prediction.bw	/broad/boxialab/sihengtao/projects/check4hic2_anewPaper/chrom2vec_output/SRR21983754_SRR21983752/s9_bigwig/genrich_normalized.bw	0	0	0	214763	0	0	prediction as-is; ground-truth ChIP clip0 + log1p	/broad/boxialab/sihengtao/chromnitron/chromnitron_finetune/Final Project/final_support/04_finetuning_hyperparameter_selection/figure4_finetuning_hyperparameter_selection_clean_source.tsv		0.4710260869	mean_pearson_100bp	/broad/boxialab/sihengtao/projects/chromnitron_finetune/20260503_analysis/figure4_bcl11a_100bp_corrected/figure4_bcl11a_pearson_100bp_corrected_summary.tsv	/broad/boxialab/sihengtao/projects/chromnitron_finetune/20260503_analysis/figure4_bcl11a_100bp_corrected/figure4_bcl11a_pearson_100bp_corrected.tsv	0.5075251963
C3	GATA1	100	chr2:60005424-61005424	0.4321510831	10000	10000	ok	hic2_target_B_clip_mse_r8_base_lr1em3_8ep/20260427-035224|GATA1	C3  r8  base warm-start	20260427-035224	hic2_target_B_clip_mse_r8_base_lr1em3_8ep	r8	base warm-start	False	False		/broad/boxialab/sihengtao/projects/chromnitron_finetune/hic2_target_B_clip_mse_r8_base_lr1em3_8ep/20260427-035224	/broad/boxialab/sihengtao/projects/chromnitron_finetune/hic2_target_B_clip_mse_r8_base_lr1em3_8ep/20260427-035224/hic2_1mb_bigwig_gata1_transfer_1mb	/broad/boxialab/sihengtao/projects/chromnitron_finetune/hic2_target_B_clip_mse_r8_base_lr1em3_8ep/20260427-035224/hic2_1mb_bigwig_gata1_transfer_1mb/prediction/prediction/check4hic2_anewPaper_single_sample/GATA1/bigwigs/GATA1_check4hic2_anewPaper_single_sample_prediction.bw	/broad/boxialab/sihengtao/projects/check4hic2_anewPaper/chrom2vec_output/SRR21983756_SRR21983758/s9_bigwig/genrich_normalized.bw	0	0	0	221872	0	0	prediction as-is; ground-truth ChIP clip0 + log1p	/broad/boxialab/sihengtao/chromnitron/chromnitron_finetune/Final Project/final_support/04_finetuning_hyperparameter_selection/figure4_finetuning_hyperparameter_selection_clean_source.tsv		0.4697146006	mean_pearson_100bp	/broad/boxialab/sihengtao/projects/chromnitron_finetune/20260503_analysis/figure4_bcl11a_100bp_corrected/figure4_bcl11a_pearson_100bp_corrected_summary.tsv	/broad/boxialab/sihengtao/projects/chromnitron_finetune/20260503_analysis/figure4_bcl11a_100bp_corrected/figure4_bcl11a_pearson_100bp_corrected.tsv	0.4321510831
C3	HIC2	100	chr2:60005424-61005424	0.507278118	10000	10000	ok	hic2_target_B_clip_mse_r8_base_lr1em3_8ep/20260427-035224|HIC2	C3  r8  base warm-start	20260427-035224	hic2_target_B_clip_mse_r8_base_lr1em3_8ep	r8	base warm-start	False	False		/broad/boxialab/sihengtao/projects/chromnitron_finetune/hic2_target_B_clip_mse_r8_base_lr1em3_8ep/20260427-035224	/broad/boxialab/sihengtao/projects/chromnitron_finetune/hic2_target_B_clip_mse_r8_base_lr1em3_8ep/20260427-035224/hic2_1mb_bigwig	/broad/boxialab/sihengtao/projects/chromnitron_finetune/hic2_target_B_clip_mse_r8_base_lr1em3_8ep/20260427-035224/hic2_1mb_bigwig/prediction/prediction/check4hic2_anewPaper_single_sample/HIC2/bigwigs/HIC2_check4hic2_anewPaper_single_sample_prediction.bw	/broad/boxialab/sihengtao/projects/check4hic2_anewPaper/chrom2vec_output/SRR21983754_SRR21983752/s9_bigwig/genrich_normalized.bw	0	0	0	214763	0	0	prediction as-is; ground-truth ChIP clip0 + log1p	/broad/boxialab/sihengtao/chromnitron/chromnitron_finetune/Final Project/final_support/04_finetuning_hyperparameter_selection/figure4_finetuning_hyperparameter_selection_clean_source.tsv		0.4697146006	mean_pearson_100bp	/broad/boxialab/sihengtao/projects/chromnitron_finetune/20260503_analysis/figure4_bcl11a_100bp_corrected/figure4_bcl11a_pearson_100bp_corrected_summary.tsv	/broad/boxialab/sihengtao/projects/chromnitron_finetune/20260503_analysis/figure4_bcl11a_100bp_corrected/figure4_bcl11a_pearson_100bp_corrected.tsv	0.507278118
C5	GATA1	100	chr2:60005424-61005424	0.4229388286	10000	10000	ok	hic2_loss_weighted_multiscale_pearsonoff_r4_base_lr3em4_5ep/20260425-160431|GATA1	C5  r4  base warm-start	20260425-160431	hic2_loss_weighted_multiscale_pearsonoff_r4_base_lr3em4_5ep	r4	base warm-start	False	False		/broad/boxialab/sihengtao/projects/chromnitron_finetune/hic2_loss_weighted_multiscale_pearsonoff_r4_base_lr3em4_5ep/20260425-160431	/broad/boxialab/sihengtao/projects/chromnitron_finetune/hic2_loss_weighted_multiscale_pearsonoff_r4_base_lr3em4_5ep/20260425-160431/hic2_1mb_bigwig_gata1_transfer_1mb	/broad/boxialab/sihengtao/projects/chromnitron_finetune/hic2_loss_weighted_multiscale_pearsonoff_r4_base_lr3em4_5ep/20260425-160431/hic2_1mb_bigwig_gata1_transfer_1mb/prediction/prediction/check4hic2_anewPaper_single_sample/GATA1/bigwigs/GATA1_check4hic2_anewPaper_single_sample_prediction.bw	/broad/boxialab/sihengtao/projects/check4hic2_anewPaper/chrom2vec_output/SRR21983756_SRR21983758/s9_bigwig/genrich_normalized.bw	0	0	0	221872	0	0	prediction as-is; ground-truth ChIP clip0 + log1p	/broad/boxialab/sihengtao/chromnitron/chromnitron_finetune/Final Project/final_support/04_finetuning_hyperparameter_selection/figure4_finetuning_hyperparameter_selection_clean_source.tsv		0.4659096057	mean_pearson_100bp	/broad/boxialab/sihengtao/projects/chromnitron_finetune/20260503_analysis/figure4_bcl11a_100bp_corrected/figure4_bcl11a_pearson_100bp_corrected_summary.tsv	/broad/boxialab/sihengtao/projects/chromnitron_finetune/20260503_analysis/figure4_bcl11a_100bp_corrected/figure4_bcl11a_pearson_100bp_corrected.tsv	0.4229388286
C5	HIC2	100	chr2:60005424-61005424	0.5088803828	10000	10000	ok	hic2_loss_weighted_multiscale_pearsonoff_r4_base_lr3em4_5ep/20260425-160431|HIC2	C5  r4  base warm-start	20260425-160431	hic2_loss_weighted_multiscale_pearsonoff_r4_base_lr3em4_5ep	r4	base warm-start	False	False		/broad/boxialab/sihengtao/projects/chromnitron_finetune/hic2_loss_weighted_multiscale_pearsonoff_r4_base_lr3em4_5ep/20260425-160431	/broad/boxialab/sihengtao/projects/chromnitron_finetune/hic2_loss_weighted_multiscale_pearsonoff_r4_base_lr3em4_5ep/20260425-160431/hic2_1mb_bigwig	/broad/boxialab/sihengtao/projects/chromnitron_finetune/hic2_loss_weighted_multiscale_pearsonoff_r4_base_lr3em4_5ep/20260425-160431/hic2_1mb_bigwig/prediction/prediction/check4hic2_anewPaper_single_sample/HIC2/bigwigs/HIC2_check4hic2_anewPaper_single_sample_prediction.bw	/broad/boxialab/sihengtao/projects/check4hic2_anewPaper/chrom2vec_output/SRR21983754_SRR21983752/s9_bigwig/genrich_normalized.bw	0	0	0	214763	0	0	prediction as-is; ground-truth ChIP clip0 + log1p	/broad/boxialab/sihengtao/chromnitron/chromnitron_finetune/Final Project/final_support/04_finetuning_hyperparameter_selection/figure4_finetuning_hyperparameter_selection_clean_source.tsv		0.4659096057	mean_pearson_100bp	/broad/boxialab/sihengtao/projects/chromnitron_finetune/20260503_analysis/figure4_bcl11a_100bp_corrected/figure4_bcl11a_pearson_100bp_corrected_summary.tsv	/broad/boxialab/sihengtao/projects/chromnitron_finetune/20260503_analysis/figure4_bcl11a_100bp_corrected/figure4_bcl11a_pearson_100bp_corrected.tsv	0.5088803828
C4	GATA1	100	chr2:60005424-61005424	0.4201057868	10000	10000	ok	hic2_loss_weighted_multiscale_pearsonoff_r4_fullws_lr3em4_5ep/20260426-020622|GATA1	C4  r4  full warm-start	20260426-020622	hic2_loss_weighted_multiscale_pearsonoff_r4_fullws_lr3em4_5ep	r4	full warm-start	False	False		/broad/boxialab/sihengtao/projects/chromnitron_finetune/hic2_loss_weighted_multiscale_pearsonoff_r4_fullws_lr3em4_5ep/20260426-020622	/broad/boxialab/sihengtao/projects/chromnitron_finetune/hic2_loss_weighted_multiscale_pearsonoff_r4_fullws_lr3em4_5ep/20260426-020622/hic2_1mb_bigwig_gata1_transfer_1mb	/broad/boxialab/sihengtao/projects/chromnitron_finetune/hic2_loss_weighted_multiscale_pearsonoff_r4_fullws_lr3em4_5ep/20260426-020622/hic2_1mb_bigwig_gata1_transfer_1mb/prediction/prediction/check4hic2_anewPaper_single_sample/GATA1/bigwigs/GATA1_check4hic2_anewPaper_single_sample_prediction.bw	/broad/boxialab/sihengtao/projects/check4hic2_anewPaper/chrom2vec_output/SRR21983756_SRR21983758/s9_bigwig/genrich_normalized.bw	0	0	0	221872	0	0	prediction as-is; ground-truth ChIP clip0 + log1p	/broad/boxialab/sihengtao/chromnitron/chromnitron_finetune/Final Project/final_support/04_finetuning_hyperparameter_selection/figure4_finetuning_hyperparameter_selection_clean_source.tsv		0.4643498894	mean_pearson_100bp	/broad/boxialab/sihengtao/projects/chromnitron_finetune/20260503_analysis/figure4_bcl11a_100bp_corrected/figure4_bcl11a_pearson_100bp_corrected_summary.tsv	/broad/boxialab/sihengtao/projects/chromnitron_finetune/20260503_analysis/figure4_bcl11a_100bp_corrected/figure4_bcl11a_pearson_100bp_corrected.tsv	0.4201057868
C4	HIC2	100	chr2:60005424-61005424	0.508593992	10000	10000	ok	hic2_loss_weighted_multiscale_pearsonoff_r4_fullws_lr3em4_5ep/20260426-020622|HIC2	C4  r4  full warm-start	20260426-020622	hic2_loss_weighted_multiscale_pearsonoff_r4_fullws_lr3em4_5ep	r4	full warm-start	False	False		/broad/boxialab/sihengtao/projects/chromnitron_finetune/hic2_loss_weighted_multiscale_pearsonoff_r4_fullws_lr3em4_5ep/20260426-020622	/broad/boxialab/sihengtao/projects/chromnitron_finetune/hic2_loss_weighted_multiscale_pearsonoff_r4_fullws_lr3em4_5ep/20260426-020622/hic2_1mb_bigwig	/broad/boxialab/sihengtao/projects/chromnitron_finetune/hic2_loss_weighted_multiscale_pearsonoff_r4_fullws_lr3em4_5ep/20260426-020622/hic2_1mb_bigwig/prediction/prediction/check4hic2_anewPaper_single_sample/HIC2/bigwigs/HIC2_check4hic2_anewPaper_single_sample_prediction.bw	/broad/boxialab/sihengtao/projects/check4hic2_anewPaper/chrom2vec_output/SRR21983754_SRR21983752/s9_bigwig/genrich_normalized.bw	0	0	0	214763	0	0	prediction as-is; ground-truth ChIP clip0 + log1p	/broad/boxialab/sihengtao/chromnitron/chromnitron_finetune/Final Project/final_support/04_finetuning_hyperparameter_selection/figure4_finetuning_hyperparameter_selection_clean_source.tsv		0.4643498894	mean_pearson_100bp	/broad/boxialab/sihengtao/projects/chromnitron_finetune/20260503_analysis/figure4_bcl11a_100bp_corrected/figure4_bcl11a_pearson_100bp_corrected_summary.tsv	/broad/boxialab/sihengtao/projects/chromnitron_finetune/20260503_analysis/figure4_bcl11a_100bp_corrected/figure4_bcl11a_pearson_100bp_corrected.tsv	0.508593992
C2	GATA1	100	chr2:60005424-61005424	0.4175932006	10000	10000	ok	hic2_loss_weighted_multiscale_pearsonon_r4_fullws_lr3em4_5ep/20260426-020616|GATA1	C2  r4  full warm-start	20260426-020616	hic2_loss_weighted_multiscale_pearsonon_r4_fullws_lr3em4_5ep	r4	full warm-start	False	False		/broad/boxialab/sihengtao/projects/chromnitron_finetune/hic2_loss_weighted_multiscale_pearsonon_r4_fullws_lr3em4_5ep/20260426-020616	/broad/boxialab/sihengtao/projects/chromnitron_finetune/hic2_loss_weighted_multiscale_pearsonon_r4_fullws_lr3em4_5ep/20260426-020616/hic2_1mb_bigwig_gata1_transfer_1mb	/broad/boxialab/sihengtao/projects/chromnitron_finetune/hic2_loss_weighted_multiscale_pearsonon_r4_fullws_lr3em4_5ep/20260426-020616/hic2_1mb_bigwig_gata1_transfer_1mb/prediction/prediction/check4hic2_anewPaper_single_sample/GATA1/bigwigs/GATA1_check4hic2_anewPaper_single_sample_prediction.bw	/broad/boxialab/sihengtao/projects/check4hic2_anewPaper/chrom2vec_output/SRR21983756_SRR21983758/s9_bigwig/genrich_normalized.bw	0	0	0	221872	0	0	prediction as-is; ground-truth ChIP clip0 + log1p	/broad/boxialab/sihengtao/chromnitron/chromnitron_finetune/Final Project/final_support/04_finetuning_hyperparameter_selection/figure4_finetuning_hyperparameter_selection_clean_source.tsv		0.4631678529	mean_pearson_100bp	/broad/boxialab/sihengtao/projects/chromnitron_finetune/20260503_analysis/figure4_bcl11a_100bp_corrected/figure4_bcl11a_pearson_100bp_corrected_summary.tsv	/broad/boxialab/sihengtao/projects/chromnitron_finetune/20260503_analysis/figure4_bcl11a_100bp_corrected/figure4_bcl11a_pearson_100bp_corrected.tsv	0.4175932006
C2	HIC2	100	chr2:60005424-61005424	0.5087425051	10000	10000	ok	hic2_loss_weighted_multiscale_pearsonon_r4_fullws_lr3em4_5ep/20260426-020616|HIC2	C2  r4  full warm-start	20260426-020616	hic2_loss_weighted_multiscale_pearsonon_r4_fullws_lr3em4_5ep	r4	full warm-start	False	False		/broad/boxialab/sihengtao/projects/chromnitron_finetune/hic2_loss_weighted_multiscale_pearsonon_r4_fullws_lr3em4_5ep/20260426-020616	/broad/boxialab/sihengtao/projects/chromnitron_finetune/hic2_loss_weighted_multiscale_pearsonon_r4_fullws_lr3em4_5ep/20260426-020616/hic2_1mb_bigwig	/broad/boxialab/sihengtao/projects/chromnitron_finetune/hic2_loss_weighted_multiscale_pearsonon_r4_fullws_lr3em4_5ep/20260426-020616/hic2_1mb_bigwig/prediction/prediction/check4hic2_anewPaper_single_sample/HIC2/bigwigs/HIC2_check4hic2_anewPaper_single_sample_prediction.bw	/broad/boxialab/sihengtao/projects/check4hic2_anewPaper/chrom2vec_output/SRR21983754_SRR21983752/s9_bigwig/genrich_normalized.bw	0	0	0	214763	0	0	prediction as-is; ground-truth ChIP clip0 + log1p	/broad/boxialab/sihengtao/chromnitron/chromnitron_finetune/Final Project/final_support/04_finetuning_hyperparameter_selection/figure4_finetuning_hyperparameter_selection_clean_source.tsv		0.4631678529	mean_pearson_100bp	/broad/boxialab/sihengtao/projects/chromnitron_finetune/20260503_analysis/figure4_bcl11a_100bp_corrected/figure4_bcl11a_pearson_100bp_corrected_summary.tsv	/broad/boxialab/sihengtao/projects/chromnitron_finetune/20260503_analysis/figure4_bcl11a_100bp_corrected/figure4_bcl11a_pearson_100bp_corrected.tsv	0.5087425051
C6	GATA1	100	chr2:60005424-61005424	0.4155929847	10000	10000	ok	hic2_loss_mse_pearsonoff_r4_base_lr3em4_5ep/20260425-160431|GATA1	C6  r4  base warm-start	20260425-160431	hic2_loss_mse_pearsonoff_r4_base_lr3em4_5ep	r4	base warm-start	False	False		/broad/boxialab/sihengtao/projects/chromnitron_finetune/hic2_loss_mse_pearsonoff_r4_base_lr3em4_5ep/20260425-160431	/broad/boxialab/sihengtao/projects/chromnitron_finetune/hic2_loss_mse_pearsonoff_r4_base_lr3em4_5ep/20260425-160431/hic2_1mb_bigwig_gata1_transfer_1mb	/broad/boxialab/sihengtao/projects/chromnitron_finetune/hic2_loss_mse_pearsonoff_r4_base_lr3em4_5ep/20260425-160431/hic2_1mb_bigwig_gata1_transfer_1mb/prediction/prediction/check4hic2_anewPaper_single_sample/GATA1/bigwigs/GATA1_check4hic2_anewPaper_single_sample_prediction.bw	/broad/boxialab/sihengtao/projects/check4hic2_anewPaper/chrom2vec_output/SRR21983756_SRR21983758/s9_bigwig/genrich_normalized.bw	0	0	0	221872	0	0	prediction as-is; ground-truth ChIP clip0 + log1p	/broad/boxialab/sihengtao/chromnitron/chromnitron_finetune/Final Project/final_support/04_finetuning_hyperparameter_selection/figure4_finetuning_hyperparameter_selection_clean_source.tsv		0.460658298	mean_pearson_100bp	/broad/boxialab/sihengtao/projects/chromnitron_finetune/20260503_analysis/figure4_bcl11a_100bp_corrected/figure4_bcl11a_pearson_100bp_corrected_summary.tsv	/broad/boxialab/sihengtao/projects/chromnitron_finetune/20260503_analysis/figure4_bcl11a_100bp_corrected/figure4_bcl11a_pearson_100bp_corrected.tsv	0.4155929847
